"Order Id","Dispatch Date","Seller SKU","Order Status","Order Item Value","Settlement Value"
"OD307536848411315001","11/8/16","COR1002","delivered","255","151.39"
"OD307531562037607000","11/8/16","KL1004","delivered","325","260.03"
"OD207538692428717001","11/8/16","BC1017","delivered","390","306.29"
"OD607537807366968000","11/8/16","OL1040","delivered","949","790.66"
"OD507540097624448000","11/8/16","OL1038","delivered","1049","885.49"
"OD407540168921158000","11/8/16","OLI1004","delivered","285","180.7"
"OD407538485611368000","11/8/16","BC1015","returned","550","0"
"OD407536460632377000","11/8/16","KL1004","delivered","325","260.03"
"OD307539557210172000","11/8/16","OL1039","delivered","1049","885.49"
"OD207538450158555001","11/8/16","KL1025","delivered","350","267.2"
"OD207531903554038000","11/8/16","BC1009","delivered","690","564.89"
"OD107540016089945000","11/8/16","OL1007","delivered","299","194.38"
"OD107539715184422002","11/8/16","OL1050","delivered","299","194.38"
"OD107531314622453000","11/8/16","KL1004","delivered","345","262.33"
"OD607537204564686000","11/9/16","ol1006","delivered","949","790.66"
"OD607531605460637000","11/9/16","KL1004","delivered","365","258.86"
"OD507546149551973000","11/9/16","Ol1002","delivered","1049","885.49"
"OD507545753755362001","11/9/16","OLI004","delivered","285","180.7"
"OD507539063964680000","11/9/16","OL1039","delivered","1049","885.49"
"OD407544356403437000","11/9/16","Ol1002","delivered","1049","885.49"
"OD607550389706050000","11/9/16","OLI004","delivered","285","180.7"
"OD607546234451983000","11/9/16","BC1012","delivered","305","200.25"
"OD607537444606043000","11/9/16","BC1005","delivered","465","393.93"
"OD607537444606043000","11/9/16","BC1012","delivered","305","237.62"
"OD607535748630432000","11/9/16","OL1039","delivered","1049","885.49"
"OD607534068375342000","11/9/16","Ol1002","returned","1049","885.49"
"OD507552322917908000","11/9/16","OL1040","delivered","949","790.66"
"OD507545638186810000","11/9/16","OL1007","delivered","299","194.38"
"OD507544910644925000","11/9/16","BC1008","returned","390","0"
"OD507540006732202000","11/9/16","OL1038","delivered","1049","885.49"
"OD507538266500767000","11/9/16","Ol1002","returned","1049","885.49"
"OD407548474637367000","11/9/16","OL1040","delivered","949","790.66"
"OD407547706433047000","11/9/16","AL1001","delivered","270","189.04"
"OD407537249827900000","11/9/16","OL1039","returned","1049","885.49"
"OD307545717438212000","11/9/16","OL1007","delivered","299","194.38"
"OD307544864280347001","11/9/16","OL1007","delivered","299","194.38"
"OD307544254117318000","11/9/16","OL1036","delivered","429","321.4"
"OD307543861618236000","11/9/16","KL1016","delivered","509","388.05"
"OD307536966045988000","11/9/16","OL1039","delivered","1049","885.49"
"OD207552143323918000","11/9/16","Ol1005","delivered","495","385.87"
"OD207548520483612000","11/9/16","COR1002","delivered","235","154.86"
"OD207546164659945000","11/9/16","BC1002","delivered","395","288.17"
"OD207536893028811000","11/9/16","KL1004","delivered","365","258.86"
"OD207535490818625000","11/9/16","OL1038","delivered","1049","885.49"
"OD207535301764914000","11/9/16","JL1021","delivered","280","124.06"
"OD107547991323486000","11/9/16","OL1038","delivered","2098","1845.72"
"OD107545945903230000","11/9/16","KL1018","returned","679","0"
"OD107538055563001000","11/9/16","OL1038","delivered","1049","885.49"
"OD107537878593851000","11/9/16","Ol1002","delivered","1049","885.49"
"OD607534068375342000","11/9/16","Ol1002","returned","1049","-885.49"
"OD507538266500767000","11/9/16","Ol1002","returned","1049","-885.49"
"OD407537249827900000","11/9/16","OL1039","returned","1049","-885.49"
"OD107545462362626000","11/10/16","OL1039","delivered","2098","1845.72"
"OD607554154390635000","11/10/16","COR1008","delivered","270","166.04"
"OD607548352975130000","11/10/16","OL1038","delivered","1049","885.49"
"OD607545789649618000","11/10/16","Ol1004","delivered","495","385.87"
"OD507547587384024000","11/10/16","KL1004","delivered","365","258.86"
"OD407555730691168000","11/10/16","ol1006","delivered","949","790.66"
"OD407546929064454000","11/10/16","COR1001","delivered","215","112.32"
"OD207561190752642000","11/10/16","OL1038","delivered","1049","885.49"
"OD107553416790621000","11/10/16","OLI1004","returned","285","0"
"OD107569991550468000","11/11/16","OL1021","delivered","715","566.32"
"OD507564393914555000","11/11/16","OL1020","delivered","680","572.36"
"OD507562807544271000","11/11/16","OL1008","returned","1999","0"
"OD407565426570736000","11/11/16","OL1021","returned","715","0"
"OD307569359545640000","11/11/16","OL1043","delivered","499","389.78"
"OD207565457793184000","11/11/16","OL1008","delivered","1999","1786.3"
"OD507568130825081000","11/12/16","OLI1004","returned","285","180.7"
"OD507566313859872000","11/12/16","KL1004","returned","365","0"
"OD507566499161004001","11/12/16","OL1007","delivered","299","194.38"
"OD507566499161004001","11/12/16","Ol1002","delivered","1049","885.49"
"OD407562537840808000","11/12/16","BC1008","delivered","390","283.29"
"OD507568130825081000","11/12/16","OLI1004","returned","285","-180.7"
"OD207559779082970000",,"OL1039","returned","1049","0"